source_document,page,snippet,matched_keyword
"ORDINANCE AMENDMENT REVIEW SHEET - 2025_05_13, Regular Meeting Backup, Planning Commission.PDF.pdf",1,"Inthelists
below , itemswithanasterisk ( * ) aresubstantiallythesamefromtheFY24 - 25Capital
ImprovementMemoofRecommendationsandremainrelevanttoday .",improvement
"ORDINANCE AMENDMENT REVIEW SHEET - 2025_05_13, Regular Meeting Backup, Planning Commission.PDF.pdf",2,"*
• ContinuetodeliverMobilityBondimprovementsfundedin2016 , 2018 , and2020 .",improvement
"ORDINANCE AMENDMENT REVIEW SHEET - 2025_05_13, Regular Meeting Backup, Planning Commission.PDF.pdf",2,"*
• ExpandtheamountofVisionZerosafetyimprovementstoaddressthe
disproportionateshareofpeopleofcoloramongseverecrashvictimsinAustin .",safety
"ORDINANCE AMENDMENT REVIEW SHEET - 2025_05_13, Regular Meeting Backup, Planning Commission.PDF.pdf",2,"*
• Focuscapitalimprovementsandmaintenanceofinfrastructurewithinareasthatare
intendedtobecompactandconnected , suchasImagineAustinActivityCenters &
ActivityCorridorsandEquitableTransit - OrientedDevelopmentstationareas .",improvement
"ORDINANCE AMENDMENT REVIEW SHEET - 2025_05_13, Regular Meeting Backup, Planning Commission.PDF.pdf",2,"*
Sustainablymanageourwaterresources
• Reviewthecity ’ sresiliencetoextremeweathereventsandotherimpactsofclimate
changetoensurethesafetyofcityresidents , ensurethereliabilityofelectric , water ,
andothercriticalinfrastructure , andidentifylong - rangecapitalimprovementsto
improveresiliencyinanequitablemanner .",safety
"ORDINANCE AMENDMENT REVIEW SHEET - 2025_05_13, Regular Meeting Backup, Planning Commission.PDF.pdf",2,"ContinuetogrowAustin ’ seconomybyinvestinginourworkforce , educationsystems ,
entrepreneurs , andlocalbusinesses
• SupporttheimplementationofcapitalimprovementsrecommendedbytheAustin
PublicLibraryComprehensiveStrategic + FacilitiesPlan .",improvement
"ORDINANCE AMENDMENT REVIEW SHEET - 2025_05_13, Regular Meeting Backup, Planning Commission.PDF.pdf",2,"*
• PromoteaccessandequityonCityprocurementopportunities , byprovidingmore
supportiveservicestosmall - , minority - owned , women - owned , anddisadvantaged
businesses .",equity
"ORDINANCE AMENDMENT REVIEW SHEET - 2025_05_13, Regular Meeting Backup, Planning Commission.PDF.pdf",2,"*
• PrioritizeandadvancecapitalimprovementprojectswithinCity - ledredevelopment
projects , asdirectedinCouncilResolutionNo .",improvement
"ORDINANCE AMENDMENT REVIEW SHEET - 2025_05_13, Regular Meeting Backup, Planning Commission.PDF.pdf",3,"• Supporttheimplementationofcommunity - recommendedcapitalimprovements
identifiedinrecognizedEconomicandCulturalDistrictStrategicPlans :
AldrichatMuellerStreetDistrict
( InProgress )
East12
th
StreetDistrictEastCesarChavezDistrict
NorthLamarInternational
District
SouthCongressDistrict
SouthFirstStreetDistrict ( In
Progress )
RedRiverCulturalDistrict
AfricanAmericanCultural
HeritageDistrict ( InProgress )
5
th
StreetMexicanAmerican
HeritageCorridor ( InProgress )
• SupportthedeliveryoftheEquitableCulturalDistrictFundingModelthatincludes ,
atminimum , recommendedstrategiesforcapitalinvestmentintoculturaldistrict
spacessupportingorganizationalstability , marketing , culturalpreservation , economic
development , andplace - enhancementtodesignatedculturaldistricts .",improvement
"ORDINANCE AMENDMENT REVIEW SHEET - 2025_05_13, Regular Meeting Backup, Planning Commission.PDF.pdf",3,"• InvestintheCommercialStabilizationProgramtosupporttheequitabledeliveryof
capitalimprovementenhancements , suchasstreetbanners , customstreetsigns , bike
racks , andlandscapeimprovements , inrecognizedEconomicandCulturalDistricts .",improvement
"ORDINANCE AMENDMENT REVIEW SHEET - 2025_05_13, Regular Meeting Backup, Planning Commission.PDF.pdf",3,"Examplesincludestreamandshorelinerestoration , the
constructionoftrailsandgreenstreets , openspaceacquisition , parkimprovements ,
communityagriculture , andgreenstormwaterretrofits .",improvement
"ORDINANCE AMENDMENT REVIEW SHEET - 2025_05_13, Regular Meeting Backup, Planning Commission.PDF.pdf",5,"CreateaHealthyAustinProgram
• Alignfundingwithpriorityprogramgoals , objectives , andactionitemstopromote
healthierlivingbyincreasingopportunitiesforphysicalactivitythrough
improvementsinactivetransportationinfrastructureandimprovementstotrail
systems ; increasingaccesstobasicneedsservicesincludingfoodaccessand
preventativehealthservices ; andincreasingopportunitiesforrecreationbyco -
locatingAustinPublicHealth ( APH ) neighborhoodcenterswiththeParksand
RecreationDepartment ’ s ( PARD ’ s ) recreationservices .",improvement
"ORDINANCE AMENDMENT REVIEW SHEET - 2025_05_13, Regular Meeting Backup, Planning Commission.PDF.pdf",5,"*
• Prioritizeinvestmentsrelatedtopublichealthandsafety , andcapitalrenewalsuchas
projectrehabilitationandrestoration .",safety
"ORDINANCE AMENDMENT REVIEW SHEET - 2025_05_13, Regular Meeting Backup, Planning Commission.PDF.pdf",5,"• Investindatainfrastructuretosupportregularlyupdatedimplementationprogress
trackingforImagineAustin .",progress
"ORDINANCE AMENDMENT REVIEW SHEET - 2025_05_13, Regular Meeting Backup, Planning Commission.PDF.pdf",6,"BoardandCommissionActions :
PlanningCommission : May13 , 2025
Submittothecitymanager , nolaterthanMay31 , 2025 , therecommendedlist
ofcapitalimprovements , whichintheopinionofthecommissionare
necessaryordesirabletoimplementtheadoptedcomprehensiveplanor
elementorportion
CouncilAction :
N / A
SponsorDepartment : PlanningDepartment
CityStaff : ChristopherCrain , Christopher .",improvement
PowerPoint Presentation - September2022_ApprovedAuditPlan.pdf,1,"AUDITPROJECTS
ProjectTopicPreliminaryObjectivePrioritySourceResources & Cost
Contract
ComplianceAudits
ofHDR , AECOM ,
andHNTB
agreements
1
AreATPcontractmonitoringpracticesensuring
taskordersareeffectivelyevaluatedand
contractorcompliancewithkeycontract
provisions ?",compliance
PowerPoint Presentation - September2022_ApprovedAuditPlan.pdf,1,"Focusareasmayinclude :
• Conductingcommunityengagement
• Establishingtransitequitygoalsandmetrics
• DevelopingtheDisadvantagedBusiness
Enterprise ( DBE ) program
• EnsuringOSHAcompliance
• Identifyingwaystoclarifyexpectations
HighInternal
Audit
InternalAuditstaff *
1
NOTE : AgreementswereexecutedbytheCapitalMetropolitanTransportationAuthority ( CapMetro ) inDecember2018 , March2019 ,
andApril2019respectivelypriortotheestablishmentofAustinTransitPartnership .",equity
cfo-monthly-report-dec-2025.pdf,7,"October - 25
Transfer # 1
From : RRF0346EastSubdivisionInfrastructureImprovement ( 729 , 580 )
To : RRC0299HotBoxDetectors729 , 580
December - 25
Transfer # 2
From : 220 - 5090702OperatingContingency ( 150 , 000 )
320 - XPL23035 - Year & 10 - YearLong - RangeServicePlans150 , 000
TransferredfundsfromOperatingContingencytothe5 - Year & 10 - YearLong - RangePlanto
completetheserviceplan .",improvement
cfo-monthly-report-dec-2025.pdf,7,"TransferredfundsfromEastSubdivisionInfrastructureImprovementprojecttotheHotBox
DetectorsprojectdelayedfromFY2025toFY2026 .",improvement
cfo-monthly-report-dec-2025.pdf,10,"5 % ( 46 ) 960
119 - SmallBusinessProgramsandCompliance194177135130 .",compliance
cfo-monthly-report-dec-2025.pdf,10,"2 % 511 , 625Vacancysavings
140 - Safety455482437110 .",safety
cfo-monthly-report-dec-2025.pdf,10,"3 % ( 45 ) 1 , 987Timingofprofessionalservices
141 - PublicSafetyandEmergencyManagement1 , 6331 , 5681 , 99678 .",safety
cfo-monthly-report-dec-2025.pdf,12,"0 % EastSubdivisionInfrastructureImprovementandBridgeReplacement
PropertyandAssetManagement5 , 38810 , 75940 , 80640 , 66339 .",improvement
